A3LH1VPY6T8255	0	0	0.5
A3LH1VPY6T8255	0	1	0.62
A3LH1VPY6T8255	0	2	0.64
A3LH1VPY6T8255	0	3	0.54
A3LH1VPY6T8255	1	0	0.68
A3LH1VPY6T8255	1	1	0.6
A3LH1VPY6T8255	1	2	0.62
A3LH1VPY6T8255	1	3	0.6
A3LH1VPY6T8255	2	0	0.62
A3LH1VPY6T8255	2	1	0.64
A3LH1VPY6T8255	2	2	0.58
A3LH1VPY6T8255	2	3	0.56
A3LH1VPY6T8255	3	0	0.74
A3LH1VPY6T8255	3	1	0.74
A3LH1VPY6T8255	3	2	0.78
A3LH1VPY6T8255	3	3	0.62
A3LH1VPY6T8255	4	0	0.64
A3LH1VPY6T8255	4	1	0.68
A3LH1VPY6T8255	4	2	0.66
A3LH1VPY6T8255	4	3	0.82
AMSUHCUTF1AAC	0	0	0.6
AMSUHCUTF1AAC	0	1	0.68
AMSUHCUTF1AAC	0	2	0.78
AMSUHCUTF1AAC	0	3	0.82
AMSUHCUTF1AAC	1	0	0.82
AMSUHCUTF1AAC	1	1	0.9
AMSUHCUTF1AAC	1	2	0.82
AMSUHCUTF1AAC	1	3	0.96
AMSUHCUTF1AAC	2	0	0.94
AMSUHCUTF1AAC	2	1	0.84
AMSUHCUTF1AAC	2	2	0.94
AMSUHCUTF1AAC	2	3	0.96
AMSUHCUTF1AAC	3	0	0.94
AMSUHCUTF1AAC	3	1	0.94
AMSUHCUTF1AAC	3	2	0.94
AMSUHCUTF1AAC	3	3	0.94
AMSUHCUTF1AAC	4	0	0.94
AMSUHCUTF1AAC	4	1	0.92
AMSUHCUTF1AAC	4	2	0.92
AMSUHCUTF1AAC	4	3	0.98
AGN9KSJLLFK1U	0	0	0.64
AGN9KSJLLFK1U	0	1	0.54
AGN9KSJLLFK1U	0	2	0.56
AGN9KSJLLFK1U	0	3	0.72
AGN9KSJLLFK1U	1	0	0.54
AGN9KSJLLFK1U	1	1	0.7
AGN9KSJLLFK1U	1	2	0.64
AGN9KSJLLFK1U	1	3	0.54
AGN9KSJLLFK1U	2	0	0.56
AGN9KSJLLFK1U	2	1	0.56
AGN9KSJLLFK1U	2	2	0.56
AGN9KSJLLFK1U	2	3	0.52
AGN9KSJLLFK1U	3	0	0.6
AGN9KSJLLFK1U	3	1	0.74
AGN9KSJLLFK1U	3	2	0.56
AGN9KSJLLFK1U	3	3	0.58
AGN9KSJLLFK1U	4	0	0.68
AGN9KSJLLFK1U	4	1	0.72
AGN9KSJLLFK1U	4	2	0.58
AGN9KSJLLFK1U	4	3	0.48
A1ZESF24O4IW28	0	0	0.66
A1ZESF24O4IW28	0	1	0.7
A1ZESF24O4IW28	0	2	0.9
A1ZESF24O4IW28	0	3	0.96
A1ZESF24O4IW28	1	0	0.92
A1ZESF24O4IW28	1	1	0.94
A1ZESF24O4IW28	1	2	0.98
A1ZESF24O4IW28	1	3	0.94
A1ZESF24O4IW28	2	0	0.9
A1ZESF24O4IW28	2	1	0.84
A1ZESF24O4IW28	2	2	0.94
A1ZESF24O4IW28	2	3	0.94
A1ZESF24O4IW28	3	0	0.82
A1ZESF24O4IW28	3	1	0.9
A1ZESF24O4IW28	3	2	0.84
A1ZESF24O4IW28	3	3	0.9
A1ZESF24O4IW28	4	0	0.92
A1ZESF24O4IW28	4	1	1.0
A1ZESF24O4IW28	4	2	1.0
A1ZESF24O4IW28	4	3	1.0
A35RGUQZRI1Q3M	0	0	0.54
A35RGUQZRI1Q3M	0	1	0.68
A35RGUQZRI1Q3M	0	2	0.82
A35RGUQZRI1Q3M	0	3	0.68
A35RGUQZRI1Q3M	1	0	0.58
A35RGUQZRI1Q3M	1	1	0.6
A35RGUQZRI1Q3M	1	2	0.78
A35RGUQZRI1Q3M	1	3	0.76
A35RGUQZRI1Q3M	2	0	0.5
A35RGUQZRI1Q3M	2	1	0.66
A35RGUQZRI1Q3M	2	2	0.68
A35RGUQZRI1Q3M	2	3	0.68
A35RGUQZRI1Q3M	3	0	0.56
A35RGUQZRI1Q3M	3	1	0.78
A35RGUQZRI1Q3M	3	2	0.82
A35RGUQZRI1Q3M	3	3	0.76
A35RGUQZRI1Q3M	4	0	0.82
A35RGUQZRI1Q3M	4	1	0.88
A35RGUQZRI1Q3M	4	2	0.9
A35RGUQZRI1Q3M	4	3	0.94
A185AZCHDI3K4O	0	0	0.66
A185AZCHDI3K4O	0	1	0.48
A185AZCHDI3K4O	0	2	0.56
A185AZCHDI3K4O	0	3	0.7
A185AZCHDI3K4O	1	0	0.88
A185AZCHDI3K4O	1	1	0.94
A185AZCHDI3K4O	1	2	0.86
A185AZCHDI3K4O	1	3	0.88
A185AZCHDI3K4O	2	0	0.96
A185AZCHDI3K4O	2	1	0.92
A185AZCHDI3K4O	2	2	0.92
A185AZCHDI3K4O	2	3	0.98
A185AZCHDI3K4O	3	0	0.96
A185AZCHDI3K4O	3	1	0.92
