0.68	0.125
0.6	0.0625
0.62	0.125
0.6	0.125
0.58	0.3125
0.6	0.1875
0.78	0.5
0.76	0.5
0.92	0.0625
0.94	0.375
0.98	0.1875
0.94	0.3125
0.54	0.0
0.7	0.0
0.64	0.0
0.54	0.25
0.54	0.125
0.58	0.4375
0.72	0.375
0.72	0.375
0.5	0.0
0.72	0.0
0.68	0.0
0.72	0.0
0.82	0.3125
0.9	0.5
0.82	0.4375
0.96	0.4375
0.62	0.1875
0.7	0.25
0.72	0.1875
0.82	0.1875
0.5	0.375
0.62	0.0
0.64	0.125
0.54	0.0
0.54	0.25
0.68	0.375
0.82	0.5625
0.68	0.25
0.66	0.125
0.7	0.1875
0.9	0.375
0.96	0.125
0.64	0.0
0.54	0.0
0.56	0.0
0.72	0.0
0.58	0.0625
0.6	0.125
0.76	0.3125
0.66	0.3125
0.48	0.0
0.48	0.0
0.62	0.0
0.52	0.0
0.6	0.0
0.68	0.1875
0.78	0.5625
0.82	0.5
0.4	0.0
0.8	0.25
0.86	0.25
0.82	0.3125
0.74	0.0
0.74	0.0
0.78	0.0625
0.62	0.125
0.56	0.625
0.78	0.375
0.82	0.5
0.76	0.3125
0.82	0.3125
0.9	0.3125
0.84	0.3125
0.9	0.25
0.6	0.0
0.74	0.0
0.56	0.0
0.58	0.0
0.9	0.375
0.78	0.5
0.86	0.5
0.88	0.5
0.66	0.0
0.62	0.0
0.72	0.0
0.62	0.0
0.94	0.4375
0.94	0.4375
0.94	0.5625
0.94	0.375
0.98	0.625
0.98	0.8125
0.98	0.8125
0.98	0.8125
0.62	0.0
0.64	0.25
0.58	0.0625
0.56	0.0625
0.5	0.25
0.66	0.6875
0.68	0.6875
0.68	0.75
0.9	0.4375
0.84	0.5
0.94	0.5625
0.94	0.4375
0.56	0.0
0.56	0.125
0.56	0.0
0.52	0.0
0.82	0.375
0.74	0.3125
0.72	0.3125
0.82	0.375
0.58	0.0
0.66	0.0
0.6	0.0
0.78	0.0
0.94	0.4375
0.84	0.4375
0.94	0.4375
0.96	0.4375
0.72	0.25
0.94	0.5625
0.96	0.6875
1.0	0.6875
0.64	0.0
0.68	0.25
0.66	0.0625
0.82	0.1875
0.82	0.375
0.88	0.5
0.9	0.5625
0.94	0.5625
0.92	0.4375
1.0	0.4375
1.0	0.4375
1.0	0.4375
0.68	0.0
0.72	0.0
0.58	0.125
0.48	0.125
0.9	0.375
0.88	0.375
0.84	0.375
0.86	0.375
0.72	0.0
0.66	0.0
0.7	0.0
0.76	0.0
0.94	0.5625
0.92	0.5625
0.92	0.5625
0.98	0.5625
1.0	0.8125
1.0	0.8125
1.0	0.8125
1.0	0.8125
